Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Age,25-34 Years,43.4,38.2 to 48.7,476
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Age,25-34 Years,41.9,34.1 to 50.2,314
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Age,25-34 Years,63.3,57.8 to 68.5,504
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Age,25-34 Years,60.4,55.9 to 64.7,548
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Age,25-34 Years,55.2,47.7 to 62.5,258
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Age,25-34 Years,75.5,70.2 to 80.1,376
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Age,25-34 Years,62.2,55.8 to 68.2,381
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Age,25-34 Years,78.7,73.7 to 82.9,567
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Age,25-34 Years,59.3,54.3 to 64.1,479
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Age,25-34 Years,78.8,74.8 to 82.2,531
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Age,25-34 Years,44.3,38.3 to 50.4,374
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Age,25-34 Years,64.4,59.1 to 69.4,481
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Age,25-34 Years,81.5,77.9 to 84.6,668
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Age,25-34 Years,50.0,45.8 to 54.3,617
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Age,25-34 Years,59.6,55.4 to 63.6,879
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Age,25-34 Years,60.5,54.3 to 66.5,402
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Age,25-34 Years,61.2,55.1 to 66.9,731
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Age,25-34 Years,82.3,77.6 to 86.2,422
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Age,25-34 Years,64.4,54.6 to 73.1,320
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Age,25-34 Years,57.7,50.5 to 64.7,323
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Age,25-34 Years,61.2,55.4 to 66.6,418
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Age,25-34 Years,61.3,,479
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Age,25-34 Years,72.5,68.5 to 76.1,645
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Age,25-34 Years,77.9,73.6 to 81.7,399
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Age,25-34 Years,57.2,46.7 to 67.1,153
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Age,25-34 Years,65.9,60.4 to 71.0,555
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Age,25-34 Years,61.3,56.0 to 66.3,500
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Age,25-34 Years,72.0,66.1 to 77.2,335
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Age,≥35 Years,66.9,51.2 to 79.5,71
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Age,≥35 Years,76.6,66.9 to 84.1,196
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Age,≥35 Years,39.7,30.8 to 49.4,148
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Age,≥35 Years,51.4,33.4 to 69.1,71
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Age,≥35 Years,58.5,48.6 to 67.8,169
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Age,≥35 Years,60.4,52.3 to 67.9,174
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Age,≥35 Years,57.1,41.1 to 71.7,67
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Age,≥35 Years,67.8,55.5 to 77.9,86
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Age,≥35 Years,65.9,60.9 to 70.5,518
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Age,≥35 Years,83.5,74.5 to 89.7,180
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Age,≥35 Years,51.1,41.5 to 60.7,122
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Age,≥35 Years,72.1,61.9 to 80.5,94
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Age,≥35 Years,51.3,36.2 to 66.1,63
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Age,≥35 Years,60.2,48.2 to 71.1,104
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Age,≥35 Years,73.7,64.0 to 81.6,135
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Age,≥35 Years,53.0,45.8 to 60.0,210
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Age,≥35 Years,59.6,52.9 to 65.9,348
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Age,≥35 Years,64.2,51.6 to 75.2,98
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Age,≥35 Years,63.8,47.0 to 77.8,133
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Age,≥35 Years,80.0,71.3 to 86.6,154
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Age,≥35 Years,65.1,48.4 to 78.7,92
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Age,≥35 Years,53.8,39.4 to 67.6,71
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Age,≥35 Years,61.1,49.8 to 71.3,121
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Age,≥35 Years,65.1,,121
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Age,≥35 Years,68.8,57.7 to 78.0,99
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Age,≥35 Years,88.5,82.4 to 92.7,157
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Age,≥35 Years,67.0,50.1 to 80.4,58
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Age,≥35 Years,72.3,61.4 to 81.0,141
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Age,≥35 Years,77.0,63.5 to 86.5,81
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Age,≥35 Years,78.2,62.6 to 88.5,60
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",47.7,37.8 to 57.7,179
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,29
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.1,23.3 to 40.1,175
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",24.0,15.7 to 34.8,223
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,17
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",38.1,30.0 to 47.0,155
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",37.1,28.0 to 47.3,192
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",46.9,38.8 to 55.1,370
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",71.7,65.5 to 77.1,246
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",45.0,40.0 to 50.1,400
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",75.3,65.3 to 83.2,130
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",32.3,26.7 to 38.3,434
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",34.0,24.4 to 45.2,113
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",68.3,62.2 to 73.8,205
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.0,23.5 to 37.5,199
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",42.0,34.0 to 50.4,264
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",45.4,38.6 to 52.5,306
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",46.5,31.0 to 62.8,127
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",71.3,54.9 to 83.6,52
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Race/Ethnicity,"Black, Non-Hispanic",49.2,37.2 to 61.4,270
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Race/Ethnicity,"Black, Non-Hispanic",43.3,31.3 to 56.3,115
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",40.9,34.9 to 47.1,245
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"Black, Non-Hispanic",45.0,,175
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,4
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,6
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",39.3,24.1 to 56.9,62
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Race/Ethnicity,"Black, Non-Hispanic",73.8,66.9 to 79.6,178
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",46.0,27.0 to 66.3,43
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,2
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Race/Ethnicity,Hispanic,55.0,40.8 to 68.4,89
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Race/Ethnicity,Hispanic,70.5,63.2 to 76.8,346
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Race/Ethnicity,Hispanic,33.9,27.3 to 41.1,257
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Race/Ethnicity,Hispanic,47.2,33.3 to 61.6,69
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Race/Ethnicity,Hispanic,58.4,48.6 to 67.5,166
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Race/Ethnicity,Hispanic,57.1,50.4 to 63.6,235
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Race/Ethnicity,Hispanic,*,*,21
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Race/Ethnicity,Hispanic,*,*,6
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Race/Ethnicity,Hispanic,43.9,30.2 to 58.5,97
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Race/Ethnicity,Hispanic,79.9,74.3 to 84.5,243
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Race/Ethnicity,Hispanic,*,*,5
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Race/Ethnicity,Hispanic,79.8,69.5 to 87.2,88
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Race/Ethnicity,Hispanic,*,*,21
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Race/Ethnicity,Hispanic,62.9,42.1 to 79.7,35
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Race/Ethnicity,Hispanic,74.0,68.0 to 79.3,215
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Race/Ethnicity,Hispanic,46.0,39.4 to 52.7,241
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Race/Ethnicity,Hispanic,58.9,52.2 to 65.2,366
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Race/Ethnicity,Hispanic,*,*,19
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Race/Ethnicity,Hispanic,52.8,39.9 to 65.3,145
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Race/Ethnicity,Hispanic,82.5,74.8 to 88.2,180
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Race/Ethnicity,Hispanic,47.0,22.6 to 72.8,42
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Race/Ethnicity,Hispanic,43.0,24.4 to 63.7,32
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Race/Ethnicity,Hispanic,61.6,54.8 to 67.9,304
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Race/Ethnicity,Hispanic,58.7,,97
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Race/Ethnicity,Hispanic,63.6,56.5 to 70.1,236
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Race/Ethnicity,Hispanic,*,*,8
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Race/Ethnicity,Hispanic,58.3,35.9 to 77.8,33
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Race/Ethnicity,Hispanic,68.5,61.6 to 74.7,218
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Race/Ethnicity,Hispanic,*,*,7
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Race/Ethnicity,Hispanic,72.5,65.6 to 78.5,153
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",59.4,42.6 to 74.2,66
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",40.7,23.9 to 60.0,35
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",49.7,27.3 to 72.3,34
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",60.9,55.7 to 65.9,603
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",72.5,59.4 to 82.6,65
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,12
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",71.6,56.9 to 82.9,114
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",79.5,73.6 to 84.4,230
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",42.1,28.1 to 57.6,45
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",77.0,65.3 to 85.6,129
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,15
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",62.9,40.4 to 80.9,30
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",75.4,70.4 to 79.7,257
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",45.9,39.3 to 52.6,217
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",58.8,50.0 to 67.0,198
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.6,52.2 to 73.7,230
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",87.8,76.6 to 94.0,81
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",70.9,52.6 to 84.3,36
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",63.7,,45
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",68.2,52.5 to 80.6,52
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,28
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",73.6,67.9 to 78.6,334
